Key,Description,en,fr
HeadModeText_915908,UI Text,"USE HELMET VISOR/HMCS

AUGMENTED VIEW ENABLED","UTILISER LA VISIERE DE CASQUE/NCSM
VUE AUGMENTEE ACTIVEE"
gimbalLimit_913148,UI Text,GIMBAL LIMIT,LIMITE DE CARDIAQUE
ModeButton_914818,VR Interactable,Targeting Mode,Mode de ciblage
SensButton_914330,VR Interactable,Sensor Mode,Mode capteur
txt_912372,UI Text,SENS,SENS
HeadButton_914894,VR Interactable,HMD Mode,Mode HMD
tgpMode_914458,UI Text,HEAD,DIRIGER
FwdButton_912778,VR Interactable,Reset Forward,Reinitialiser En avant
txt_916362,UI Text,FWD,FWD
GPS-S Button_915296,VR Interactable,GPS Send,Envoi GPS
GPS-A Button_915520,VR Interactable,GPS Acquire,Acquisition GPS
txt_913352,UI Text,GPS-A,GPS-A
ToWptButton_914462,VR Interactable,To Waypoint,Au point de cheminement
txt_914632,UI Text,TO WPT,
LIM Button_-7676696,VR Interactable,Toggle Limits Overlay,Basculer la superposition des limites
txt_409782,UI Text,LIM,LIM
MarkerButton_5516312,VR Interactable,Laser Marker,Marqueur laser
txt_5601166,Laser marker button text,MARK,MARQUER
PrevPageButton_912958,VR Interactable,Prev Page,Page precedente
NextPageButton_915536,VR Interactable,Next Page,Page suivante
BackButton_393686,VR Interactable,Back,Reculer
txt_912290,UI Text,CANCEL,ANNULER
Title_915426,UI Text,COMMS,COMMS
Text_914552,UI Text,GAME MENU,MENU DU JEU
Play Area Text_399346,UI Text,PLAY AREA,AIRE DE JEUX
RecenterButton_913736,VR Interactable,Recenter Seat,Siege plus recent
txt_913580,UI Text,RECENTER,RECENTER
txt_911972,UI Text,MISSION,MISSION
txt_913088,UI Text,RESTART,REDEMARRER
RestartButton_911636,VR Interactable,Quicksave Menu,Menu d'enregistrement rapide
txt_410560,UI Text,QUICKSAVE,SAUVEGARDE RAPIDE
ExitButton_912780,VR Interactable,Exit Mission,Quitter Mission
txt_916092,UI Text,EXIT,SORTIR
FlightLog Button_414124,VR Interactable,Flight Log,Journal de vol
txt_409254,UI Text,LOG,JOURNAL
PlayersButton_-29308950,VR Interactable,View Players,Voir joueurs
playerstxt_-29308946,UI Text,PLAYERS,JOUEURS
NetworkButton_-29379578,VR Interactable,Network Analytics,Analyse du reseau
txt_527716,UI Text,NETWORK,RESEAU
Text_916022,UI Text,"Sit comfortably
and press
[menu]
to recenter","Asseyez-vous confortablement
et appuyez sur
[menu]
pour recentrer"
txt_410172,UI Text,Save to disk,Enregistrer sur disque
saveText_-13568996,VR Interactable,Quicksave,Sauvegarde rapide
saveText_txt_-100236,quicksave button label,SAVE,SAUVEGARDER
availableLabel_956208,UI Text,"SAVES
AVAILABLE:","SAUVEGARDES
DISPONIBLE:"
NoQsText_955496,UI Text,"QUICKSAVE
NOT AVAILABLE","SAUVEGARDE RAPIDE
PAS DISPONIBLE"
lastSaveLabel_954396,UI Text,Last Save:,Derniere sauvegardee:
loadText_-13568992,VR Interactable,Quickload,Chargement rapide
loadText_txt_-101050,quickload button label,LOAD,CHARGE
PlayersReturnButton_520924,VR Interactable,Return,Retour
txt_525336,UI Text,RETURN,RETOUR
ManagePlayersButton_521164,VR Interactable,Manage Players,Gerer joueurs
txt_526582,UI Text,MANAGE,GERER
upArrow_527248,VR Interactable,Scroll Up,Defiler vers le haut
downArrow_521412,VR Interactable,Scroll Down,Defiler vers le bas
netAnalyticsTtle_-29380092,UI Text,vt net analytics,
NetworkReturnButton_521328,VR Interactable,Return,Retour
txt_523966,UI Text,RETURN,RETOUR
ScaleButton_393616,VR Interactable,Zoom +,Zoomer +
ScaleButton (1)_410406,VR Interactable,Zoom -,Zoom -
braLabel_916212,UI Text,"B
R
A",B
MHLabel_911876,UI Text,"M
H",M
SlewTGPButton_912226,VR Interactable,Slew EOTS,Slew EOTS
txt_916166,UI Text,EOTS,EOTS
RadarAngleButton_913540,VR Interactable,Sweep Angle,Angle de balayage
txt_912826,Radar angle label,ANGLE,ANGLE
RadarPointButton_5515842,VR Interactable,Toggle Point Track,Basculer le suivi des points
txt_5602762,Radar point lock label,POINT,INDIQUER
RadarSettingsButton_914450,VR Interactable,Radar Settings,Parametres du radar
RadarPowerButton_911976,VR Interactable,Show Allies,Afficher les allies
txt_914476,UI Text,ALLY,ALLIE
HUDFoeButton_411098,VR Interactable,Show Foes,Afficher les ennemis
txt_414072,TSD HUD filter,FOE,ENNEMI
HUDAirButton_411548,VR Interactable,Show Air,Afficher l'air
txt_410524,TSD HUD filter,AIR,AIR
HUDGroundButton_411390,VR Interactable,Show Ground,Afficher le sol
txt_412394,TSD HUD filter,GRND,TERRE
HUDMissileButton_414516,VR Interactable,Show Missiles,Afficher les missiles
txt_412204,TSD HUD filter,MSSL,MSSL
HUDSettingsButton_414214,VR Interactable,HUD Settings,Parametres HUD
txt_915874,UI Text,HUD,ATH
typeText_913752,UI Text,GPS,GPS
braLabel_912824,UI Text,"B
R","B
R"
ResetViewButton_-34018362,VR Interactable,Reset View,Reinitialiser la vue
txt_222022,UI Text,RESET,REINITIALISER
Subsized_915030,UI Text,TSD,TSD
MFD1PowerInteractable_912850,VR Interactable,MFD Power,Puissance MFD
MFDBrightnessKnob_916384,VR Interactable,MFD Brightness,Luminosite MFD
HMCSPowerInteractable_914036,VR Interactable,HMD Power,Puissance HMD
HUDBrightKnob_915916,VR Interactable,HUD Brightness,Luminosite du HUD
masterArmSwitchInteractable_912532,VR Interactable,Master Arm Switch,Commutateur de bras principal
coverSwitchInteractable_masterArm_915432,VR Interactable,Switch Cover,Couvercle du commutateur
raiseSeatInter_915664,VR Interactable,Raise Seat,Relever le siege
lowerSeatInter_915488,VR Interactable,Lower Seat,Siege inferieur
visorButtonInteractable_-7865812,VR Interactable,Toggle Visor,Basculer la visiere
nvgButtonInteractable_-7865816,VR Interactable,Toggle NVG,Basculer NVG
clearButton_4853888,Clear joined/left notifications,Clear,
info_userLeft,UI Text,has left!,est parti !
membersTitle_6548730,UI Text,Invite Friends,Inviter des amis
ToggleMute_-118434,VR Interactable,Toggle Mute,Basculer en sourdine
Kick_-113880,VR Interactable,Kick,
kickText_-113882,UI Text,Kick,
Ban_-116098,VR Interactable,Block,
banText_-116094,UI Text,Block,
ScrollInteractable_-645206,VR Interactable,Scroll,Defilement
ErrorOKButton_-8378960,VR Interactable,Okay,D'accord
okText_-8378962,UI Text,Cancel,Annuler
Deny_1950982,VR Interactable,Cancel,Annuler
Invite_-47166,VR Interactable,Invite,Inviter
inviteText_-47202,UI Text,Invite,Inviter
invitedText_-48900,UI Text,Invited,
GearInteractable_911944,VR Interactable,Landing Gear,Train d'atterrissage
WingSwitchInteractable_915584,VR Interactable,Wing Fold,Pli d'aile
JettisonSwitchInteractable_916390,VR Interactable,Jettison Switch,Interrupteur de largage
vtAPButton_916132,VR Interactable,Vertical Control AP Mode,Mode de controle vertical AP
parkingBrakeInteractable_913796,VR Interactable,Parking Brake,Frein a main
LandingLightInteractable_916204,VR Interactable,Landing Lights,Phares d'atterrissage
StrobLightInteractable_914704,VR Interactable,Strobe Lights,Lumieres stroboscopiques
NavLightInteractable_913426,VR Interactable,Nav Lights,Feux de navigation
FormationGlowInteractable_915506,VR Interactable,Formation Lights,Lumieres de formation
InsturmentLightInteractable_930484,VR Interactable,Interior Lights,Lumieres interieures
LabelBrightnessKnob_929958,VR Interactable,Instrument Brightness,Luminosite de l'instrument
RadioVolumeKnob_912288,VR Interactable,Radio Volume,Volume de la radio
PrevButton_912222,VR Interactable,Prev Song,Chanson precedente
NextButton_915694,VR Interactable,Next Song,Prochaine chanson
radioPlayPauseInteractable_914658,VR Interactable,Play/Pause,Jouer/pause
CatHookInteractable_914178,VR Interactable,Launch Bar,Barre de lancement
FuelPort_916140,VR Interactable,Fuel Port,Port de carburant
HookInteractable_914364,VR Interactable,Arrestor Hook,Crochet d'arret
engineSwitchInteractable_914400,VR Interactable,Engine,Moteur
mainBattSwitchInteractable_916302,VR Interactable,Main Battery,Batterie principale
apuSwitchInteractable_916246,VR Interactable,Auxilliary Power,Alimentation auxiliaire
CommsVolumeKnob_953158,VR Interactable,Comm Radio Volume,Volume de la radio de communication
Text_95182,UI Text,"GAME WINDOW
NOT IN FOCUS","FENeTRE DE JEU
PAS DANS L'OBJECTIF"
RadioInteractable_2581494,VR Interactable,Radio Mode,Mode radio
RadioChannelInteractable_2581172,VR Interactable,Radio Channel,Chaine radio
CommsVolumeKnobMP_-18677120,VR Interactable,Team Radio Volume,Volume radio de l'equipe
CanopyInteractable_914266,VR Interactable,Canopy Switch,Commutateur d'auvent
CamcorderObj_385876,VR Interactable,Move Camera,Deplacer la camera
throttleInteractable_915500,VR Interactable,Throttle,Manette de Gaz
Label (1)_956422,UI Text,QUICK START,DEMARRAGE RAPIDE
Label (1)_954266,UI Text,QUICK FLY,VOL RAPIDE
