Key,Description,en,fr
vehicleConfig_symmetry,,Symmetry,Symetrie
vehicleConfig_symmetryButton,,Toggle symmetry,Basculer la symetrie
vehicleConfig_load,,Load,Charge
vehicleConfig_save,,Save,Sauvegarder
vehicleConfig_saveNew,,Save new...,Enregistrer nouveau...
vehicleConfig_overwrite,,Overwrite,ecraser...
vehicleConfig_delete,,Delete,Effacer
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,Reservoir de carburant de 500L
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,Un reservoir d'essence de 500 litres.
AIM-9E Sidewinder x2_fullName,Full equip name of: AIM-9E Sidewinder x2,AIM-9E Sidewinder x2,
AIM-9E Sidewinder x2_description,Item description of: AIM-9E Sidewinder x2,"A rack of two AIM-9E. An older short range, rear-aspect, heat seeking air to air missile.",
eqSublabel_IR,HUD sub-label of an equip,IR,IR
ON,,ON,ACTIVE
OFF,,OFF,DESACTIVE
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,MODE DE RECHERCHE
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,TRIG UNCAGE
s_seekerMode_0,Label for heatseeker mode,Caged,En cage
s_seekerMode_1,Label for heatseeker mode,Uncaged,Non mis en cage
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,Balayage vertical
s_seekerMode_3,Label for heatseeker mode,Head Track,Tete de piste
s_seekerMode_4,Label for heatseeker mode,Hard Lock,Verrouillage dur
Hydra-70 x19 Rocket Pod_fullName,Full equip name of: Hydra-70 x19 Rocket Pod,Hydra-70 x19 Rocket Pod,Capsule de fusee Hydra-70 x19
Hydra-70 x19 Rocket Pod_description,Item description of: Hydra-70 x19 Rocket Pod,"A pod carrying a total of 19 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple)."," or rapid fire (ripple)."
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,FUSeE
s_rocket_salvo,Rocket launcher salvo option,SALVO,SALVE
M62 Vulcan 20mm_fullName,Full equip name of: M62 Vulcan 20mm,M62 Vulcan 20mm,M62 Vulcain 20mm
M62 Vulcan 20mm_description,Item description of: M62 Vulcan 20mm,A modern 20mm rotary cannon.,Un canon rotatif moderne de 20 mm.
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,CANON
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,ASF-SRM x2
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,Un rack de deux missiles anti-aeriens a recherche de chaleur standard.
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,Canons rotatifs jumeaux RG25
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,Canons rotatifs jumeaux de 25 mm.
AIM-7 SARH Missile_fullName,Full equip name of: AIM-7 SARH Missile,AIM-7 SARH Missile,
AIM-7 SARH Missile_description,Item description of: AIM-7 SARH Missile,An older semi-active radar guided medium range air to air missile. The missile requires a radar lock from launch until impact.,
eqSublabel_SARH-AAM,HUD sub-label of an equip,SARH AAM,
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,Pod de fusee WR-25
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,Une nacelle hexagonale transportant 25 roquettes non guidees.
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,ASMRM-7 x1
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,Missile air-air guide par radar a moyenne portee.
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,Bombe Mk-82 x3
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,Bombes standard non guidees de 500 lb.
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,BOMBE
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,ZONE DE LIBeRATION
SALVO,,SALVO,SALVE
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE",LOW G
s_ccrpAuto,,CCRP AUTO,CCRP AUTO
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T SRM avance x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.",Missile air-air a recherche de chaleur a courte portee avec vecteur de poussee.
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,Reservoir de carburant conforme
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,Une modification qui permet a l'avion de contenir 6 400 L de carburant supplementaires.
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,BRAS AGM-88
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,Missile anti-rayonnement a moyenne portee.
eqSublabel_ARM,HUD sub-label of an equip,ARM,BRAS
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,AGA-65 x3
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",Un missile antichar de moyenne portee a guidage optique ��tirer et oublier��.
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,OPTIQUE FF
AUTO,,AUTO,AUTO
MANUAL,,MANUAL,MANUEL
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,MODE DECAGE
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,PAS de TGP
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,Pod de ciblage AN/AAQ-28
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers.  A necessary component for certain guided missiles.,Pod de capteur pour l'acquisition et le suivi de cibles a l'aide d'optiques et de lasers.�Un composant necessaire pour certains missiles guides.
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,Redempteur GAU-22 25mm
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM",Un canon rotatif de 25 mm a 4 canons.
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,MK-82AIR x32
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,Un rack de 32 bombes MK-82AIR a forte tra�nee.
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,Bombe a guidage laser GBU-12
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,Une bombe a guidage laser de 500 livres.
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,BOMBE LASER
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,MODE CIBLE
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,LOAL
s_lgbMode_0,Laser guided bomb targeting mode,LASER,LASER
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,STUPIDE
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,AGA-65
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",Un missile antichar de moyenne portee a guidage optique ��tirer et oublier��.
CBU-97 Bomb x1_fullName,Full equip name of: CBU-97 Bomb x1,CBU-97 Bomb x1,Bombe CBU-97 x1
CBU-97 Bomb x1_description,Item description of: CBU-97 Bomb x1,A smart cluster bomb that fires 40 explosively shaped armor penetrators at targets.,Une bombe a fragmentation intelligente qui tire 40 penetrateurs de blindage de forme explosive sur des cibles.
eqSublabel_CLUSTER-BOMB,HUD sub-label of an equip,CLUSTER BOMB,BOMBE A FRAGMENTATION
s_cbuAlt,HUD when below submunition deploy altitude of cluster bomb,BELOW CBU ALT,SOUS CBU ALT
M230 Chain Gun_fullName,Full equip name of: M230 Chain Gun,M230 Chain Gun,Pistolet a chaine M230
M230 Chain Gun_description,Item description of: M230 Chain Gun,A single-barrel 30mm automatic cannon mounted on a gimbal. The gimbal will be locked forward above a certain airspeed.,Un canon automatique a canon unique de 30 mm monte sur un cardan.�Le cardan sera verrouille vers l'avant au-dessus d'une certaine vitesse.
eqSublabel_CANNON-GIMBAL,HUD sub-label of an equip,CANNON GIMBAL,CANON GIMBAL
gunTurret_locked,Label for when a gun turret is set to be locked in the forward-aiming position.,LOCKED,FERME A CLE
gunTurret_slaved,Label for wh en a gun turret is set to be controlled by (slaved to) an external sensor.,SLAVED,ESCLAVE
gunTurret_gimbal,Option title for gun turrets' gimbal (rotation/aiming) to be locked or slaved.,GIMBAL,GIMBAL
gunTurret_speedlock,Label when gun turret is locked due to overspeed,SPEEDLOCK,VERROUILLAGE
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,SRM avance AIRS-T x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.",Missile air-air a recherche de chaleur a courte portee avec vecteur de poussee.
AGM-145 Ballista x4_fullName,Full equip name of: AGM-145 Ballista x4,AGM-145 Ballista x4,AGM-145 Baliste x4
AGM-145 Ballista x4_description,Item description of: AGM-145 Ballista x4,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.",Petits missiles antichars avec optique avancee
eqSublabel_OPTICAL-FAF,HUD sub-label of an equip,OPTICAL FAF,FAF OPTIQUE
tutName_Hover Tutorial,Name of a legacy tutorial objective,Hover Tutorial,Tutoriel survol
tutDesc_Hover Tutorial,Description of a legacy tutorial,Learn to hover.,Apprenez a planer.
tut:Hover Tutorial:Intro10,A tutorial label,Welcome to the hover tutorial.,Bienvenue dans le tutoriel de survol.
tut:Hover Tutorial:Intro21,A tutorial label,We'll begin with the start-up sequence.,Nous allons commencer par la sequence de demarrage.
tut:Hover Tutorial:Brake Lock2,A tutorial label,Enable Brake Lock,Activer le verrouillage des freins
tut:Hover Tutorial:Enable battery3,A tutorial label,Enable Battery,Activer la batterie
tut:Hover Tutorial:start up apu4,A tutorial label,Start APU,Demarrer l'APU
tut:Hover Tutorial:wait spool apu5,A tutorial label,Let the APU spool up,Laissez l'APU s'enrouler
tut:Hover Tutorial:StartLeftEngine6,A tutorial label,Start Left Engine,Demarrer le moteur gauche
tut:Hover Tutorial:StartRightEngine7,A tutorial label,Start Right Engine,Demarrer le bon moteur
tut:Hover Tutorial:Flaps8,A tutorial label,Set flaps to full,Reglez les volets au maximum
tut:Hover Tutorial:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Attendez que les moteurs demarrent.
tut:Hover Tutorial:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,Les moteurs fournissent maintenant de l'energie. Nous pouvons desactiver l'APU.
tut:Hover Tutorial:TurnOffAPU11,A tutorial label,Turn off APU.,Desactivez l'APU.
tut:Hover Tutorial:EnableHUD12,A tutorial label,Turn on the HUD,Allumez le HUD
tut:Hover Tutorial:EnableMFD113,A tutorial label,Turn on the MFDs,Allumez les MFD
tut:Hover Tutorial:EnableMFD214,A tutorial label,Turn on the MFDs,Allumez les MFD
tut:Hover Tutorial:EnableMFD315,A tutorial label,Turn on the MFDs,Allumez les MFD
tut:Hover Tutorial:GrabJoy16,A tutorial label,Grab the joystick.,Prenez le joystick.
tut:Hover Tutorial:GrabThrottle17,A tutorial label,Grab the throttle.,Prenez l'accelerateur.
tut:Hover Tutorial:SetTilt18,A tutorial label,Set the engine tilt to 90,Reglez l'inclinaison du moteur a 90
tut:Hover Tutorial:LiftOff19,A tutorial label,Slowly lift the throttle until you take off.,Soulevez lentement la manette des gaz jusqu'a ce que vous decolliez.
tut:Hover Tutorial:MaintainAttitude20,A tutorial label,Try to keep your nose level with the horizon.,Essayez de garder votre nez au niveau de l'horizon.
tut:Hover Tutorial:ClimbAltitude21,A tutorial label,Slowly climb to 100m altitude.,Monter doucement a 100m d'altitude.
tut:Hover Tutorial:Hover22,A tutorial label,Adjust throttle to maintain zero vertical speed.,Reglez l'accelerateur pour maintenir une vitesse verticale nulle.
tut:Hover Tutorial:CancelLaterals23,A tutorial label,Cancel lateral speed by rolling or pitching slightly in the opposite direction.,Annulez la vitesse laterale en roulant ou en tangant legerement dans la direction opposee.
tut:Hover Tutorial:HoldPos24,A tutorial label,Try to hold this position for a few moments.,Essayez de maintenir cette position pendant quelques instants.
tut:Hover Tutorial:DescendTime25,A tutorial label,Now lets try to land.,Essayons maintenant d'atterrir.
tut:Hover Tutorial:Descend26,A tutorial label,Adjust throttle to slowly descend at about -6 m/s,Reglez les gaz pour descendre lentement a environ -6 m/s
tut:Hover Tutorial:PrepareForImpact27,A tutorial label,Throttle up to about -2 m/s,Accelerateur jusqu'a environ -2 m/s
tut:Hover Tutorial:PostLand28,A tutorial label,Throttle down!,Baissez les gaze!
tut:Hover Tutorial:Complete29,A tutorial label,Tutorial complete! Good job!,Tutoriel termine ! Bon travail!
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,Reservoir de carburant de 4000L
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,Un reservoir de carburant externe amovible de 4000 litres.
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,ASF-SRM x1
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,Un missile anti-aerien a recherche de chaleur standard.
GBU-38 Bomb x2_fullName,Full equip name of: GBU-38 Bomb x2,GBU-38 Bomb x2,Bombe GBU-38 x2
GBU-38 Bomb x2_description,Item description of: GBU-38 Bomb x2,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munition d'attaque directe guidee par GPS de 500 lb. C'est une bombe Mk.82 avec un kit de guidage attache.
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,AIM-9 Sidewinder x2
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,Un rack de deux missiles anti-aeriens a recherche de chaleur standard Sidewinder.
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,RI AAM
GBU-38 Bomb x1_fullName,Full equip name of: GBU-38 Bomb x1,GBU-38 Bomb x1,Bombe GBU-38 x1
GBU-38 Bomb x1_description,Item description of: GBU-38 Bomb x1,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munition d'attaque directe guidee par GPS de 500 lb. C'est une bombe Mk.82 avec un kit de guidage attache.
menu_back,"General ""back"" button for menus.",Back,
mpmm_members,Title for multiplayer members management menu.,Members,
mpmm_toggleMute,Toggle muting player voice,Toggle mute,
mpmm_kick,Kick member button,Kick,
mpmm_ban,Ban member button,Ban,
mpmm_block,Block member button,Block,
scrollbar,UI Scrollbar interactable,Scroll,
okay,,Okay,
cancel,,Cancel,Annuler
mpmm_inviteMenuButton,Button to open the invite friends menu,Invite friends,
mpmm_inviteFriendsTitle,Invite menu title,Invite friends,
mpmm_invited,Label to show that a friend has been invited.,Invited,
mpmm_invite,Button to invite this friend.,Invite,
s_cms_rate_single,CMS release rate - single fire mode,Single,Seul
s_cms_rMode_0,CMS release mode,Single Auto,Auto simple
s_cms_rMode_1,CMS release mode,Single L,L simple
s_cms_rMode_2,CMS release mode,Single R,R simple
s_cms_rMode_3,CMS release mode,Double,Double
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,Commencer
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,Terminez le didacticiel d'introduction.
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,Bienvenue sur l'AV-42C
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.","D'abord, empêchons l'oiseau de rouler."
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,Activer le verrouillage des freins
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,Passons maintenant a la sequence de demarrage.
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,Activer la batterie
tut:Getting Started:start up apu5,A tutorial label,Start APU,Demarrer l'APU
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,Laissez l'APU s'enrouler un peu.
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,Demarrer le moteur gauche
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,Demarrer le bon moteur
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Attendez que les moteurs demarrent.
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,Les moteurs fournissent maintenant de l'energie. Nous pouvons desactiver l'APU.
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,Desactivez l'APU.
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,Allumez le HUD
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","Le HUD (affichage tete haute) vous montre l'altitude, la vitesse, les reticules de ciblage et d'autres donnees de vol importantes en un coup d'œil."
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,Allumez le MFD 1
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,Allumez le MFD 2
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,Allumez le MFD 3
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,Les MFD (Multi-Function Displays) vous donnent acces a
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,","caracteristiques de l'avion telles que la configuration des armes, les cartes de navigation,"
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc.  You can access these features by pressing the corresponding buttons around the edge of the monitor.","capteurs, etc. Vous pouvez acceder à ces fonctionnalites en appuyant sur les boutons correspondants sur le bord du moniteur."
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly.  Up next: Basic Flight,Le vehicule est maintenant pret a voler. Suivant: Vol de base
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,Chargement rapide
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,Journal de vol largue
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)",Continuer le vol
hud_noArm,A short HUD label when no weapons are armed.,NO ARM,PAS DE BRAS
s_newObj,Objective popup message in HUD,NEW OBJECTIVE,NOUVEL OBJECTIF
s_objComplete,Objective popup message in HUD,OBJECTIVE COMPLETE,OBJECTIF COMPLET
s_objFailed,Objective popup message in HUD,OBJECTIVE FAILED,OBJECTIF eCHEC
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,REPONSE:
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,Aucun hostile trouve.
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,L'AWACS n'est pas pret a faire rapport.
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,Aucun AWACS disponible
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,Photo AWACS demandee
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,Vecteur RTB demande par AWACS
s_hostile,Prefix for AWACS bogey dope response,Hostile,Hostile
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,Rearmement non disponible.
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,Pas dans une station de rearmement. Retourner a la base.
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,Veuillez eteindre vos moteurs.
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,Veuillez desarmer votre systeme d'arme.
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,Veuillez desengager votre crochet d'arret.
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,Cette gare est occupee !
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,Veuillez vous rendre jusqu'a une station de rearmement.
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,Vos ailiers sont occupes.
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,Certains de vos ailiers sont occupes.
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,Vous n'avez pas d'ailier.
commReply_s_wingmenOrbiting,A text reply in the communications menu.,Wingmen orbiting here.,Des ailiers en orbite ici.
commReply_s_wingmenEngaging,A text reply in the communications menu.,Wingmen engaging targets at will!,Des ailiers engageant des cibles a volonte !
commReply_s_wingmenDisengaging,A text reply in the communications menu.,Wingmen disengaging from combat!,Ailiers se desengageant du combat!
commReply_s_wingmenFormationSpread,A text reply in the communications menu.,Wingmen setting formation spread.,La formation des ailiers se repandit.
commReply_s_wingman,A text reply in the communications menu.,Wingman,Ailier
commReply_s_attackingTSD,A text reply in the communications menu.,attacking your TSD target!,attaquer votre cible TSD�!
commReply_s_attackingRadar,A text reply in the communications menu.,attacking your radar target!,attaquer votre cible radar�!
commReply_s_attackingTGP,A text reply in the communications menu.,attacking your TGP target!,attaquer votre cible TGP�!
commReply_s_attackingARAD,A text reply in the communications menu.,attacking your ARAD target!,attaquer votre cible ARAD�!
commReply_s_noWingmenForAttack,A text reply in the communications menu.,No wingmen available for attack.,Aucun ailier disponible pour l'attaque.
commReply_s_noTarget,A text reply in the communications menu.,No target selected.,Aucune cible selectionnee.
commReply_s_noAirfield,A text reply in the communications menu.,No airfield available.,Pas d'aerodrome disponible.
