Key,Description,en,fr
title_701018,UI Text,MAX ALTITUDE,ALTITUDE MAX
modeTitle_702386,UI Text,MODE,MODE
MFD1PowerInteractable_856422,VR Interactable,MFD Power (Left),Allumage MFD (Gauche)
MFDBrightnessKnob_858866,VR Interactable,MFD Brightness,Luminosité MFD
MFD2PowerInteractable_856476,VR Interactable,MFD Power (Center),Allumage MFD (Centre)
MFD3PowerInteractable_857594,VR Interactable,MFD Power (Right),Allumage MFD (Droit)
CrsKnobInteractable_858264,VR Interactable,Course Set,Définir Route
Text_859426,UI Text,CRS,
APHeadingKnobInteractable_859312,VR Interactable,AP Heading Set,Définir Cap PA
RWRText_856538,UI Text,"R
W
R","R
W
R"
Text_859504,UI Text,VRMMFD v1.6,
fuelDrainLabel_859218,UI Text,FUEL DRAIN,CONSO CARBURANT
estTimeLabel_856372,UI Text,EST TIME,TEMPS EST
estDistLabel_856044,UI Text,EST DISTANCE,DISTANCE EST
twrLabel_858560,UI Text,MAX TWR,
RWRButton_857352,VR Interactable,RWR,
powButtonMMFDLeft_859524,VR Interactable,Power (MMFD Left),Puissance (MMFD Gauche)
FuelText_858474,UI Text,"F
U
E
L","C
A
R
B."
InfoLabel_857034,UI Text,"I
N
F
O","I
N
F
O"
powButtonMMFDRight_855584,VR Interactable,Power (MMFD Right),Allumage (MMFD Droite)
infoButton_859450,VR Interactable,Fuel Info,Info Carburant
fuelButton_855474,VR Interactable,Fuel,Carburant
mainBattSwitchInteractable_858600,VR Interactable,Main Battery,Batterie Principale
fuelDumpSwitchInteractable_197570,VR Interactable,Fuel Dump Switch,Interrupteur Vidage Carburant
RampInteractable_858370,VR Interactable,Side Doors,Portes Latérales
BrakeLockInteractable_859740,VR Interactable,Brake Locks,Verrouillage Frein
MicPowerInteractable_855850,VR Interactable,Microphone,Micro
CommsVolumeKnob_858450,VR Interactable,Comm Radio Volume,Volume Radiocommunication
Text_98822,UI Text,"GAME WINDOW
NOT IN FOCUS","FENÊTRE DU JEU
NON CIBLÉE"
ChaffInteractable_859410,VR Interactable,Toggle Chaff,Bascule Paillettes
FlareInteractable_856806,VR Interactable,Toggle Flares,Bascule Leurres
AssistMasterInteractable_860160,VR Interactable,Toggle Flight Assist,Bascule Assistance Vol
PitchSASInteractable_855582,VR Interactable,Toggle Pitch Assist,Bascule Assistance Tangage
YawSASInteractable_859920,VR Interactable,Toggle Yaw Assist,Bascule Assistance Lacet
RollSASInteractable_859788,VR Interactable,Toggle Roll Assist,Bascule Assistance Roulis
PitchAutoTrimInteractable_859614,VR Interactable,Toggle Pitch Trim,Bascule Compensateur Tangage
GLimitSwitchInteractable_860152,VR Interactable,Toggle G-Limiter,Bascule G-Limiter
FuelPort_860018,VR Interactable,Fuel Port,Port de carburant
RCSModeInteractable_858010,VR Interactable,RCS Mode,Mode RCS
RadioVolumeKnob_859248,VR Interactable,Radio Volume,Volume de la Radio
PrevButton_857278,VR Interactable,Prev Song,Chanson Précédente
NextButton_858006,VR Interactable,Next Song,Chanson Suivante
radioPlayPauseInteractable_858616,VR Interactable,Play/Pause,Lire/Pause
RWRModeInteractable_856254,VR Interactable,RWR Mode,Mode RWR
CamcorderObj_105218,VR Interactable,Move Camera,Déplacer la Caméra
